query-id	corpus-id	score
11	doc11	1
1068	doc1068	1
770	doc770	1
694	doc694	1
379	doc379	1
448	doc448	1
421	doc421	1
956	doc956	1
518	doc518	1
680	doc680	1
603	doc603	1
609	doc609	1
787	doc787	1
823	doc823	1
69	doc69	1
270	doc270	1
308	doc308	1
377	doc377	1
165	doc165	1
152	doc152	1
878	doc878	1
732	doc732	1
488	doc488	1
276	doc276	1
463	doc463	1
401	doc401	1
60	doc60	1
1056	doc1056	1
338	doc338	1
622	doc622	1
641	doc641	1
606	doc606	1
977	doc977	1
28	doc28	1
344	doc344	1
282	doc282	1
1077	doc1077	1
1078	doc1078	1
33	doc33	1
472	doc472	1
193	doc193	1
594	doc594	1
747	doc747	1
1043	doc1043	1
645	doc645	1
132	doc132	1
889	doc889	1
844	doc844	1
176	doc176	1
158	doc158	1
948	doc948	1
992	doc992	1
329	doc329	1
150	doc150	1
763	doc763	1
1042	doc1042	1
994	doc994	1
795	doc795	1
1080	doc1080	1
492	doc492	1
66	doc66	1
750	doc750	1
614	doc614	1
1064	doc1064	1
218	doc218	1
40	doc40	1
682	doc682	1
25	doc25	1
55	doc55	1
1045	doc1045	1
128	doc128	1
919	doc919	1
237	doc237	1
615	doc615	1
674	doc674	1
1058	doc1058	1
826	doc826	1
966	doc966	1
565	doc565	1
912	doc912	1
133	doc133	1
907	doc907	1
232	doc232	1
219	doc219	1
63	doc63	1
903	doc903	1
445	doc445	1
452	doc452	1
370	doc370	1
796	doc796	1
767	doc767	1
408	doc408	1
854	doc854	1
728	doc728	1
184	doc184	1
283	doc283	1
473	doc473	1
478	doc478	1
551	doc551	1
281	doc281	1
297	doc297	1
755	doc755	1
295	doc295	1
116	doc116	1
1087	doc1087	1
93	doc93	1
895	doc895	1
450	doc450	1
938	doc938	1
693	doc693	1
858	doc858	1
79	doc79	1
513	doc513	1
1071	doc1071	1
392	doc392	1
5	doc5	1
955	doc955	1
845	doc845	1
824	doc824	1
35	doc35	1
793	doc793	1
372	doc372	1
41	doc41	1
57	doc57	1
36	doc36	1
1001	doc1001	1
761	doc761	1
272	doc272	1
179	doc179	1
53	doc53	1
1016	doc1016	1
909	doc909	1
863	doc863	1
362	doc362	1
375	doc375	1
915	doc915	1
414	doc414	1
953	doc953	1
29	doc29	1
531	doc531	1
958	doc958	1
741	doc741	1
335	doc335	1
108	doc108	1
921	doc921	1
82	doc82	1
494	doc494	1
314	doc314	1
585	doc585	1
829	doc829	1
104	doc104	1
712	doc712	1
315	doc315	1
545	doc545	1
507	doc507	1
801	doc801	1
727	doc727	1
881	doc881	1
906	doc906	1
1038	doc1038	1
773	doc773	1
65	doc65	1
811	doc811	1
1079	doc1079	1
254	doc254	1
1051	doc1051	1
688	doc688	1
749	doc749	1
935	doc935	1
354	doc354	1
252	doc252	1
312	doc312	1
960	doc960	1
243	doc243	1
138	doc138	1
683	doc683	1
508	doc508	1
95	doc95	1
402	doc402	1
13	doc13	1
241	doc241	1
228	doc228	1
597	doc597	1
985	doc985	1
772	doc772	1
420	doc420	1
812	doc812	1
131	doc131	1
530	doc530	1
460	doc460	1
177	doc177	1
1070	doc1070	1
649	doc649	1
872	doc872	1
975	doc975	1
613	doc613	1
933	doc933	1
458	doc458	1
470	doc470	1
1047	doc1047	1
567	doc567	1
868	doc868	1
784	doc784	1
199	doc199	1
127	doc127	1
549	doc549	1
644	doc644	1
73	doc73	1
611	doc611	1
400	doc400	1
386	doc386	1
89	doc89	1
865	doc865	1
702	doc702	1
651	doc651	1
738	doc738	1
238	doc238	1
207	doc207	1
120	doc120	1
76	doc76	1
1002	doc1002	1
987	doc987	1
669	doc669	1
430	doc430	1
1073	doc1073	1
383	doc383	1
246	doc246	1
734	doc734	1
900	doc900	1
211	doc211	1
890	doc890	1
1039	doc1039	1
435	doc435	1
1006	doc1006	1
139	doc139	1
820	doc820	1
1026	doc1026	1
709	doc709	1
290	doc290	1
103	doc103	1
923	doc923	1
52	doc52	1
304	doc304	1
500	doc500	1
860	doc860	1
777	doc777	1
802	doc802	1
1060	doc1060	1
543	doc543	1
160	doc160	1
652	doc652	1
345	doc345	1
278	doc278	1
546	doc546	1
593	doc593	1
1041	doc1041	1
142	doc142	1
715	doc715	1
981	doc981	1
144	doc144	1
866	doc866	1
539	doc539	1
130	doc130	1
794	doc794	1
84	doc84	1
997	doc997	1
537	doc537	1
562	doc562	1
887	doc887	1
830	doc830	1
310	doc310	1
480	doc480	1
660	doc660	1
896	doc896	1
756	doc756	1
119	doc119	1
666	doc666	1
951	doc951	1
983	doc983	1
892	doc892	1
769	doc769	1
1018	doc1018	1
663	doc663	1
913	doc913	1
1050	doc1050	1
582	doc582	1
1090	doc1090	1
327	doc327	1
431	doc431	1
520	doc520	1
407	doc407	1
607	doc607	1
942	doc942	1
50	doc50	1
754	doc754	1
908	doc908	1
78	doc78	1
374	doc374	1
107	doc107	1
305	doc305	1
114	doc114	1
396	doc396	1
465	doc465	1
1057	doc1057	1
621	doc621	1
512	doc512	1
898	doc898	1
677	doc677	1
203	doc203	1
554	doc554	1
257	doc257	1
989	doc989	1
973	doc973	1
1069	doc1069	1
943	doc943	1
681	doc681	1
638	doc638	1
129	doc129	1
487	doc487	1
298	doc298	1
262	doc262	1
982	doc982	1
952	doc952	1
818	doc818	1
428	doc428	1
394	doc394	1
762	doc762	1
280	doc280	1
703	doc703	1
503	doc503	1
910	doc910	1
841	doc841	1
918	doc918	1
646	doc646	1
869	doc869	1
578	doc578	1
519	doc519	1
181	doc181	1
662	doc662	1
692	doc692	1
59	doc59	1
819	doc819	1
85	doc85	1
664	doc664	1
617	doc617	1
477	doc477	1
1083	doc1083	1
1004	doc1004	1
10	doc10	1
352	doc352	1
451	doc451	1
965	doc965	1
751	doc751	1
846	doc846	1
521	doc521	1
96	doc96	1
618	doc618	1
18	doc18	1
776	doc776	1
493	doc493	1
1059	doc1059	1
949	doc949	1
457	doc457	1
619	doc619	1
83	doc83	1
695	doc695	1
397	doc397	1
267	doc267	1
599	doc599	1
620	doc620	1
563	doc563	1
1061	doc1061	1
589	doc589	1
204	doc204	1
242	doc242	1
189	doc189	1
263	doc263	1
340	doc340	1
592	doc592	1
639	doc639	1
264	doc264	1
947	doc947	1
515	doc515	1
121	doc121	1
873	doc873	1
274	doc274	1
427	doc427	1
602	doc602	1
781	doc781	1
893	doc893	1
328	doc328	1
355	doc355	1
1023	doc1023	1
544	doc544	1
806	doc806	1
15	doc15	1
516	doc516	1
70	doc70	1
429	doc429	1
814	doc814	1
1055	doc1055	1
766	doc766	1
351	doc351	1
1063	doc1063	1
542	doc542	1
9	doc9	1
91	doc91	1
789	doc789	1
798	doc798	1
998	doc998	1
880	doc880	1
479	doc479	1
701	doc701	1
266	doc266	1
612	doc612	1
34	doc34	1
730	doc730	1
996	doc996	1
797	doc797	1
125	doc125	1
247	doc247	1
911	doc911	1
182	doc182	1
1081	doc1081	1
957	doc957	1
123	doc123	1
333	doc333	1
917	doc917	1
731	doc731	1
164	doc164	1
255	doc255	1
804	doc804	1
221	doc221	1
410	doc410	1
991	doc991	1
6	doc6	1
391	doc391	1
627	doc627	1
1015	doc1015	1
939	doc939	1
566	doc566	1
485	doc485	1
187	doc187	1
934	doc934	1
271	doc271	1
426	doc426	1
673	doc673	1
322	doc322	1
169	doc169	1
976	doc976	1
226	doc226	1
937	doc937	1
843	doc843	1
710	doc710	1
75	doc75	1
190	doc190	1
940	doc940	1
208	doc208	1
425	doc425	1
999	doc999	1
124	doc124	1
307	doc307	1
235	doc235	1
403	doc403	1
360	doc360	1
720	doc720	1
46	doc46	1
922	doc922	1
324	doc324	1
1008	doc1008	1
716	doc716	1
706	doc706	1
172	doc172	1
422	doc422	1
251	doc251	1
353	doc353	1
950	doc950	1
475	doc475	1
365	doc365	1
87	doc87	1
245	doc245	1
725	doc725	1
306	doc306	1
831	doc831	1
302	doc302	1
77	doc77	1
37	doc37	1
260	doc260	1
201	doc201	1
224	doc224	1
760	doc760	1
417	doc417	1
412	doc412	1
48	doc48	1
284	doc284	1
43	doc43	1
993	doc993	1
101	doc101	1
424	doc424	1
655	doc655	1
640	doc640	1
236	doc236	1
196	doc196	1
390	doc390	1
191	doc191	1
786	doc786	1
835	doc835	1
86	doc86	1
98	doc98	1
318	doc318	1
319	doc319	1
303	doc303	1
437	doc437	1
654	doc654	1
879	doc879	1
38	doc38	1
916	doc916	1
334	doc334	1
97	doc97	1
679	doc679	1
1014	doc1014	1
482	doc482	1
359	doc359	1
195	doc195	1
90	doc90	1
632	doc632	1
553	doc553	1
964	doc964	1
595	doc595	1
376	doc376	1
852	doc852	1
337	doc337	1
529	doc529	1
369	doc369	1
175	doc175	1
109	doc109	1
27	doc27	1
699	doc699	1
685	doc685	1
1035	doc1035	1
874	doc874	1
94	doc94	1
559	doc559	1
499	doc499	1
850	doc850	1
555	doc555	1
1021	doc1021	1
656	doc656	1
790	doc790	1
971	doc971	1
902	doc902	1
464	doc464	1
768	doc768	1
388	doc388	1
468	doc468	1
1017	doc1017	1
708	doc708	1
864	doc864	1
658	doc658	1
409	doc409	1
810	doc810	1
223	doc223	1
31	doc31	1
590	doc590	1
587	doc587	1
1085	doc1085	1
156	doc156	1
330	doc330	1
23	doc23	1
984	doc984	1
26	doc26	1
398	doc398	1
1005	doc1005	1
882	doc882	1
782	doc782	1
7	doc7	1
525	doc525	1
616	doc616	1
967	doc967	1
387	doc387	1
808	doc808	1
805	doc805	1
248	doc248	1
689	doc689	1
1019	doc1019	1
311	doc311	1
166	doc166	1
564	doc564	1
301	doc301	1
206	doc206	1
364	doc364	1
1091	doc1091	1
21	doc21	1
536	doc536	1
112	doc112	1
1027	doc1027	1
137	doc137	1
775	doc775	1
853	doc853	1
418	doc418	1
19	doc19	1
413	doc413	1
185	doc185	1
526	doc526	1
625	doc625	1
72	doc72	1
234	doc234	1
1040	doc1040	1
588	doc588	1
629	doc629	1
832	doc832	1
884	doc884	1
698	doc698	1
151	doc151	1
411	doc411	1
729	doc729	1
643	doc643	1
285	doc285	1
548	doc548	1
343	doc343	1
579	doc579	1
225	doc225	1
927	doc927	1
642	doc642	1
496	doc496	1
914	doc914	1
395	doc395	1
220	doc220	1
1029	doc1029	1
527	doc527	1
229	doc229	1
596	doc596	1
456	doc456	1
1028	doc1028	1
205	doc205	1
780	doc780	1
825	doc825	1
1054	doc1054	1
455	doc455	1
745	doc745	1
126	doc126	1
764	doc764	1
771	doc771	1
886	doc886	1
173	doc173	1
198	doc198	1
822	doc822	1
250	doc250	1
1024	doc1024	1
523	doc523	1
385	doc385	1
605	doc605	1
791	doc791	1
1000	doc1000	1
